Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
13,3572.041016,1051.020752,-174.673523,3547.121582,1067.900146,-226.296341,3481.790283,1063.114136,-110.08667,3587.074219,1052.966187,-67.89193,3521.222168,1041.790771,-151.406815,3537.459961,1038.390137,-287.373199,3813.308838,1666.685303,230.520874,3898.788086,1641.005127,147.937149,3895.211426,1558.341797,178.67244,3701.476807,1342.119629,198.498871,3660.314453,1324.38855,121.219574,3805.201172,1340.766235,133.525848
14,3572.017334,1051.019775,-174.649429,3547.057861,1067.864502,-226.27356,3481.771973,1063.078247,-110.100426,3587.078613,1052.963745,-67.886726,3521.660645,1041.496704,-150.795288,3537.647217,1038.391724,-287.521729,3813.303223,1666.668823,230.509338,3898.782227,1640.998291,147.926102,3895.266846,1558.365112,178.633057,3701.536621,1342.149048,198.497116,3660.32251,1324.345215,121.222328,3805.189697,1340.74646,133.538879
15,3572.036865,1051.011108,-174.616333,3547.057373,1067.835327,-226.26622,3481.730469,1063.050781,-110.096107,3587.284424,1052.899536,-68.143806,3521.461182,1041.723755,-151.141312,3537.469971,1038.358276,-287.399017,3813.319824,1666.68042,230.49118,3898.780762,1640.999268,147.911224,3895.31665,1558.355957,178.615356,3701.509277,1342.130493,198.493149,3660.312988,1324.326538,121.211304,3805.163574,1340.716064,133.535645
16,3572.030762,1051.003906,-174.564896,3547.04126,1067.795654,-226.249527,3481.719727,1063.048584,-110.073196,3587.131836,1052.926514,-67.906227,3521.185303,1041.744263,-151.536438,3537.401367,1038.391235,-287.391144,3813.315186,1666.677856,230.453354,3898.800049,1640.998413,147.880524,3895.316162,1558.331787,178.616806,3701.497314,1342.138306,198.406326,3660.313965,1324.311523,121.231766,3805.169189,1340.699097,133.537415
17,3572.031738,1050.963257,-174.565063,3547.003418,1067.75647,-226.204468,3481.705811,1063.005493,-110.081429,3587.151855,1052.963257,-67.921661,3521.083496,1041.745483,-152.045929,3537.407715,1038.400757,-287.404877,3813.312012,1666.669312,230.433258,3898.779053,1640.991333,147.865326,3895.325439,1558.304199,178.609863,3701.540771,1342.11853,198.362671,3660.307617,1324.280151,121.234802,3805.152344,1340.69751,133.539383
18,3571.995605,1050.917603,-174.483505,3547.10791,1067.700195,-225.977127,3481.690674,1062.977661,-110.077057,3587.158447,1052.962891,-67.919418,3521.071045,1041.746338,-152.040634,3537.391846,1038.400391,-287.410431,3813.320801,1666.672119,230.425034,3898.828125,1641.02063,147.857452,3895.322266,1558.305542,178.603333,3701.525635,1342.099243,198.351685,3660.309326,1324.234619,121.227821,3805.128418,1340.686768,133.533798
19,3571.980469,1050.894653,-174.444153,3547.145508,1067.645874,-225.910675,3481.681396,1062.965088,-110.06028,3587.155029,1052.947021,-67.889618,3521.054199,1041.73291,-152.062943,3537.372559,1038.408081,-287.387726,3813.297852,1666.683716,230.412277,3898.840576,1641.023438,147.837479,3895.322266,1558.341675,178.627838,3701.456299,1342.095459,198.33783,3660.313477,1324.210571,121.252747,3805.10791,1340.660767,133.554993
20,3571.967285,1050.890381,-174.377365,3547.121338,1067.616211,-225.880997,3481.691162,1062.927246,-110.056953,3587.158447,1052.941772,-67.911034,3521.020752,1041.71936,-152.089676,3537.366699,1038.427856,-287.402893,3813.29834,1666.682983,230.3992,3898.834961,1641.019165,147.828842,3895.311035,1558.344604,178.62468,3701.44458,1342.094727,198.309265,3660.287842,1324.204346,121.256386,3805.096924,1340.66272,133.533661
21,3571.952881,1050.86084,-174.349731,3547.118652,1067.588379,-225.84613,3481.648438,1062.901489,-110.023727,3587.165527,1052.959473,-67.929726,3521.0354,1041.714355,-152.095093,3537.368164,1038.422852,-287.400574,3813.312256,1666.687744,230.386536,3898.834229,1641.014038,147.818848,3895.297363,1558.335815,178.631485,3701.432129,1342.093262,198.302444,3660.290039,1324.202759,121.261749,3805.091553,1340.674194,133.555161
22,3571.89624,1050.817139,-174.294006,3547.106689,1067.555054,-225.802216,3481.633789,1062.858398,-110.016808,3587.147949,1052.969604,-67.929787,3521.04541,1041.722778,-152.083435,3537.366455,1038.417236,-287.404297,3813.294678,1666.69458,230.376038,3898.841309,1641.033569,147.83049,3895.294434,1558.334473,178.613174,3701.44043,1342.07312,198.283081,3660.288818,1324.213623,121.269714,3805.087646,1340.675293,133.551682
