Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
11,3540.333984,1053.366089,-254.605026,3561.195557,1032.678833,-199.234726,3468.391846,1057.250977,-131.064926,3587.496826,1052.675415,-69.931885,3520.815918,1041.706177,-151.100891,3537.109375,1038.410522,-288.742645,3813.053711,1666.00708,230.34198,3899.007324,1640.257446,148.054306,3895.396484,1557.309204,178.684921,3701.087158,1341.434082,198.653122,3659.941406,1323.219116,121.192719,3804.787354,1339.726196,132.818497
12,3540.330811,1053.343384,-254.601807,3561.2229,1032.957397,-199.399429,3468.348145,1057.250366,-131.0849,3587.545166,1052.656982,-69.928093,3520.552979,1041.726929,-151.422073,3537.103271,1038.374146,-288.740356,3813.048828,1666.004028,230.313873,3899.014893,1640.247681,148.029266,3895.329834,1557.264282,178.732788,3701.05957,1341.447021,198.622604,3659.941406,1323.198975,121.145981,3804.77002,1339.719116,132.820023
13,3540.315186,1053.334351,-254.589737,3561.197754,1032.986206,-199.478165,3468.342041,1057.251221,-131.12767,3587.569092,1052.681274,-69.961311,3520.378174,1041.768799,-151.649139,3537.083252,1038.354858,-288.742584,3813.063721,1665.996338,230.302277,3899.031982,1640.240356,148.012329,3895.324951,1557.22937,178.710281,3701.050781,1341.430298,198.604904,3659.92627,1323.197144,121.157196,3804.77002,1339.699097,132.784515
14,3540.291016,1053.298096,-254.577133,3561.211426,1033.006104,-199.488068,3468.297852,1057.235229,-131.228134,3587.600098,1052.710205,-70.043282,3520.357666,1041.764648,-151.712921,3537.061279,1038.333984,-288.748596,3813.069336,1665.990479,230.271118,3899.032959,1640.244385,148.008789,3895.405762,1557.245972,178.634201,3701.107666,1341.441162,198.570129,3659.914795,1323.170654,121.1437,3804.77002,1339.689209,132.796463
15,3540.304932,1053.281616,-254.564728,3561.207275,1032.998413,-199.500046,3468.284668,1057.252441,-131.208939,3587.628662,1052.704102,-70.022133,3520.336914,1041.741699,-151.720535,3537.074219,1038.311768,-288.740601,3813.081299,1665.983643,230.264984,3899.096924,1640.25769,147.976166,3895.436279,1557.215576,178.634689,3701.107666,1341.375122,198.617691,3659.90332,1323.14502,121.126404,3804.764648,1339.67688,132.793365
16,3540.302979,1053.25647,-254.537704,3561.192871,1032.99707,-199.495728,3468.249268,1057.205444,-131.199112,3587.584717,1052.648926,-69.981018,3520.312988,1041.714233,-151.741974,3537.0979,1038.27478,-288.724335,3813.087158,1665.974609,230.26088,3899.05957,1640.240356,147.99881,3895.448242,1557.163574,178.598267,3701.092285,1341.392334,198.562943,3659.890625,1323.111694,121.09436,3804.786377,1339.64624,132.753967
17,3540.2854,1053.24939,-254.528793,3561.188477,1033.025269,-199.496964,3468.217285,1057.164551,-131.242584,3587.637451,1052.709595,-70.049133,3520.30249,1041.709839,-151.74884,3537.118896,1038.294434,-288.745789,3813.083252,1665.969604,230.243622,3899.032715,1640.225708,147.972748,3895.456299,1557.128052,178.58519,3701.094971,1341.391724,198.538025,3659.876221,1323.112549,121.082932,3804.765137,1339.636475,132.777496
18,3540.278564,1053.25061,-254.543839,3561.19043,1033.012451,-199.542999,3468.219727,1057.148926,-131.25267,3587.628662,1052.704346,-70.036285,3520.307373,1041.710083,-151.753052,3537.11377,1038.291992,-288.75119,3813.079346,1665.964966,230.232407,3899.104248,1640.246338,147.928909,3895.466797,1557.099365,178.581345,3701.097656,1341.388916,198.532257,3659.855713,1323.101685,121.098831,3804.753662,1339.61377,132.778076
19,3540.27417,1053.253662,-254.542206,3561.195312,1033.015137,-199.525024,3468.210449,1057.133911,-131.268234,3587.61499,1052.71936,-70.015686,3520.362061,1041.646362,-151.654251,3537.094727,1038.281494,-288.755798,3813.09375,1665.964233,230.240204,3899.11084,1640.239014,147.902847,3895.461914,1557.098267,178.589828,3701.098633,1341.377319,198.539246,3659.852783,1323.086426,121.092896,3804.75708,1339.61731,132.774429
20,3540.25293,1053.253784,-254.539612,3561.205811,1033.042969,-199.512848,3468.209717,1057.121216,-131.296936,3587.582275,1052.75061,-70.009132,3520.389404,1041.632446,-151.607452,3537.091309,1038.296265,-288.746124,3813.086426,1665.962036,230.23204,3899.119873,1640.23291,147.917755,3895.4375,1557.103271,178.582214,3701.139648,1341.356201,198.572159,3659.84375,1323.08313,121.089409,3804.736816,1339.618896,132.778854
