Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
11,3501.921387,1066.293701,-124.746178,3571.858398,1036.340942,-188.333435,3548.375488,1055.786743,-232.128647,3537.002441,1038.385132,-287.698914,3521.358154,1042.348145,-151.172028,3586.504883,1052.414795,-68.356499,3813.987549,1666.579346,230.376648,3900.013428,1640.754639,148.200378,3896.174072,1557.779785,178.828354,3701.618652,1342.094116,198.150406,3660.354004,1323.960449,120.860298,3805.119385,1340.082642,133.334625
12,3501.928955,1066.311279,-124.761559,3571.840576,1036.342773,-188.267166,3548.369385,1055.782959,-232.098053,3537.016602,1038.396606,-287.692596,3521.371826,1042.359741,-151.149872,3586.502197,1052.442383,-68.361671,3813.983154,1666.566162,230.383957,3899.999512,1640.748901,148.195312,3896.141113,1557.753174,178.877396,3701.514893,1342.085327,198.175262,3660.334717,1323.961914,120.858208,3805.109619,1340.108276,133.345947
13,3501.90918,1066.301147,-124.746986,3571.953613,1036.436157,-188.073425,3548.368896,1055.795898,-232.102188,3537.029785,1038.406372,-287.692047,3521.375732,1042.371216,-151.147964,3586.467773,1052.429199,-68.363922,3813.9729,1666.576782,230.392181,3900.00708,1640.758545,148.193726,3896.156738,1557.769653,178.858841,3701.564209,1342.053223,198.2211,3660.328857,1323.984253,120.868118,3805.09082,1340.08728,133.345383
14,3501.912354,1066.281372,-124.75753,3571.931641,1036.444092,-187.983475,3548.36792,1055.788208,-232.087036,3537.021729,1038.39502,-287.687408,3521.382324,1042.387207,-151.147354,3586.477783,1052.434448,-68.357506,3813.975098,1666.564453,230.398254,3899.992432,1640.761597,148.213501,3896.107666,1557.740967,178.849197,3701.571045,1342.130127,198.162064,3660.323486,1323.992432,120.884453,3805.044189,1340.085205,133.36998
15,3501.920898,1066.30188,-124.742592,3571.80957,1036.309082,-188.180984,3548.364502,1055.776123,-232.06424,3537.009766,1038.424316,-287.689056,3521.284912,1042.249512,-151.177673,3586.425537,1052.462524,-68.325851,3813.968262,1666.578979,230.412476,3899.978516,1640.760132,148.213333,3896.098633,1557.763794,178.916626,3701.574463,1342.091797,198.239288,3660.33374,1323.981323,120.881485,3805.04834,1340.103882,133.379807
16,3501.915039,1066.291748,-124.739113,3571.906494,1036.40918,-187.957947,3548.331299,1055.76709,-232.047333,3537.032471,1038.431885,-287.697693,3521.376953,1042.424805,-151.120178,3586.412598,1052.446655,-68.339462,3813.963623,1666.580566,230.4207,3899.978027,1640.756714,148.228302,3896.0896,1557.78186,178.900024,3701.570801,1342.116333,198.294861,3660.325928,1324.008179,120.88356,3805.041992,1340.104614,133.391937
17,3501.912598,1066.293457,-124.723045,3571.897217,1036.592041,-187.778046,3548.297363,1055.751587,-232.026291,3537.017578,1038.440674,-287.691864,3521.397949,1042.502441,-151.124084,3586.588623,1052.406738,-68.583801,3813.956543,1666.590332,230.434692,3899.956543,1640.754272,148.230972,3896.075684,1557.791626,178.912201,3701.537109,1342.147461,198.28067,3660.322021,1324.02002,120.898193,3805.013184,1340.114136,133.404572
18,3501.904541,1066.30542,-124.680321,3571.890625,1036.576172,-187.775589,3548.286133,1055.737549,-232.03978,3537.022949,1038.448364,-287.693665,3521.294678,1042.354492,-151.123306,3586.402832,1052.442261,-68.327316,3813.939697,1666.589355,230.43512,3899.947998,1640.748657,148.233658,3896.072266,1557.796021,178.926056,3701.519531,1342.142822,198.262833,3660.313721,1324.033325,120.890343,3805.000732,1340.120972,133.40535
19,3501.895996,1066.301392,-124.673485,3571.605225,1036.584839,-188.065277,3548.248047,1055.709595,-231.974899,3537.045898,1038.447998,-287.690155,3521.390137,1042.488525,-151.107437,3586.383057,1052.462769,-68.314728,3813.948975,1666.587769,230.449036,3899.938721,1640.748535,148.233444,3896.062988,1557.79248,178.948364,3701.583984,1342.141724,198.322205,3660.340088,1324.047119,120.903168,3805.006104,1340.124756,133.418869
20,3501.875732,1066.307007,-124.657951,3571.675049,1036.648193,-187.820755,3548.175049,1055.675415,-231.952103,3537.014648,1038.462402,-287.700745,3521.394287,1042.55896,-151.108521,3586.384277,1052.457886,-68.321854,3813.942139,1666.589478,230.446503,3899.943604,1640.73291,148.238892,3896.058105,1557.796875,178.927277,3701.584961,1342.270752,198.383209,3660.320801,1324.050293,120.899498,3804.997803,1340.133545,133.423279
21,3501.885742,1066.318726,-124.659882,3571.658691,1036.623413,-187.821396,3548.149658,1055.625488,-231.946716,3537.196289,1038.468872,-287.782867,3521.372803,1042.553223,-151.119659,3586.39209,1052.467041,-68.32547,3813.87915,1666.62146,230.454163,3899.937988,1640.739258,148.231369,3896.064209,1557.804199,178.942184,3701.661377,1342.270386,198.446045,3660.335938,1324.081543,120.887535,3804.990479,1340.136841,133.399597
22,3501.870605,1066.307617,-124.660095,3571.650146,1036.610229,-187.804367,3548.130127,1055.613403,-231.952271,3537.02124,1038.444092,-287.713257,3521.399658,1042.556641,-151.115524,3586.391113,1052.460083,-68.33403,3813.874512,1666.613892,230.456375,3899.936279,1640.738647,148.239532,3896.054199,1557.795776,178.935806,3701.62085,1342.297852,198.3965,3660.3479,1324.082764,120.88575,3805.007324,1340.135498,133.401657
23,3501.867676,1066.321533,-124.651794,3571.660645,1036.596558,-187.813858,3548.094727,1055.584229,-231.945251,3537.021484,1038.444214,-287.692535,3521.397705,1042.540649,-151.101959,3586.412109,1052.438843,-68.34082,3813.882812,1666.611206,230.449692,3899.945068,1640.736572,148.243042,3896.062744,1557.803589,178.93161,3701.599121,1342.28772,198.364487,3660.348877,1324.075073,120.907043,3805.015381,1340.143311,133.401077
24,3501.873535,1066.327026,-124.619919,3571.528564,1036.538452,-188.006805,3548.10083,1055.576538,-231.955002,3537.022461,1038.42981,-287.690247,3521.324463,1042.37146,-151.090485,3586.425293,1052.438965,-68.328255,3813.931885,1666.589478,230.443817,3899.943604,1640.731689,148.228531,3896.072266,1557.796631,178.921692,3701.637451,1342.272949,198.422455,3660.343994,1324.0802,120.878342,3804.97583,1340.226074,133.455002
25,3501.862549,1066.356812,-124.62896,3571.546387,1036.539673,-188.016388,3548.080566,1055.547363,-231.940262,3537.02002,1038.426758,-287.69693,3521.35376,1042.324219,-151.097641,3586.468018,1052.467651,-68.356445,3813.940186,1666.587891,230.426071,3899.947998,1640.742798,148.217499,3896.080566,1557.81189,178.887344,3701.609619,1342.179443,198.382187,3660.37085,1324.072754,120.878845,3805.062012,1340.155396,133.396255
26,3501.876221,1066.348755,-124.628983,3571.582031,1036.444336,-187.964569,3548.063232,1055.53186,-231.934433,3537.019775,1038.428101,-287.692383,3521.415771,1042.455688,-151.079346,3586.441895,1052.435669,-68.366623,3813.944092,1666.578857,230.416565,3899.953613,1640.747314,148.22287,3896.097168,1557.801758,178.902725,3701.57666,1342.143799,198.317657,3660.359375,1324.06897,120.865532,3805.069824,1340.151978,133.35675
27,3501.875732,1066.349609,-124.62645,3571.587158,1036.444092,-187.952271,3548.067139,1055.512695,-231.945953,3537.025391,1038.401855,-287.702423,3521.313232,1042.314087,-151.134933,3586.480225,1052.434082,-68.354263,3813.949219,1666.574219,230.414566,3899.965576,1640.743286,148.212555,3896.112793,1557.77124,178.836029,3701.582764,1342.132446,198.274704,3660.377197,1324.029297,120.862816,3805.083252,1340.140381,133.34938
28,3501.872559,1066.344849,-124.611603,3571.453125,1036.315918,-188.193329,3548.067627,1055.504761,-231.955673,3536.998047,1038.404419,-287.705505,3521.312012,1042.260864,-151.165924,3586.493652,1052.428589,-68.351624,3813.962402,1666.574585,230.410919,3899.976318,1640.749878,148.207901,3896.126709,1557.786377,178.875,3701.575684,1342.130005,198.267471,3660.371826,1324.035156,120.854744,3805.112061,1340.133057,133.340866
29,3501.865967,1066.362915,-124.625549,3571.472656,1036.311523,-188.202316,3548.088623,1055.480835,-231.952835,3536.955811,1038.343872,-287.783661,3521.306396,1042.250488,-151.144089,3586.514648,1052.416992,-68.345978,3813.964844,1666.571045,230.402252,3899.993896,1640.758057,148.204681,3896.146729,1557.745972,178.824249,3701.57959,1342.099487,198.272659,3660.376953,1324.027344,120.868523,3805.128174,1340.128906,133.34256
30,3501.866699,1066.348755,-124.635742,3571.44165,1036.314209,-188.200714,3548.092773,1055.460205,-231.968781,3537.013916,1038.38501,-287.701691,3521.381104,1042.367676,-151.135712,3586.700684,1052.379395,-68.590889,3813.968262,1666.577515,230.393478,3900.0,1640.761841,148.206238,3896.144287,1557.748047,178.82164,3701.536865,1342.111816,198.197342,3660.364014,1324.000366,120.83709,3805.138916,1340.126221,133.335266
31,3501.87915,1066.343384,-124.653221,3571.430176,1036.296143,-188.203583,3548.080811,1055.447876,-231.973541,3537.007812,1038.399292,-287.712494,3521.391357,1042.393311,-151.131424,3586.537109,1052.427856,-68.366539,3813.9729,1666.573975,230.393188,3899.999023,1640.770386,148.195145,3896.155273,1557.735229,178.836334,3701.508789,1342.098267,198.153214,3660.366211,1324.000854,120.839371,3805.144287,1340.11145,133.342041
