Frame,pitch_001_X,pitch_001_Y,pitch_001_Z,pitch_002_X,pitch_002_Y,pitch_002_Z,pitch_003_X,pitch_003_Y,pitch_003_Z,right_001_X,right_001_Y,right_001_Z,right_002_X,right_002_Y,right_002_Z,right_003_X,right_003_Y,right_003_Z,right_004_X,right_004_Y,right_004_Z,right_005_X,right_005_Y,right_005_Z,right_006_X,right_006_Y,right_006_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_pitch_001_X,zed_pitch_001_Y,zed_pitch_001_Z,zed_pitch_002_X,zed_pitch_002_Y,zed_pitch_002_Z,zed_pitch_003_X,zed_pitch_003_Y,zed_pitch_003_Z,zed_pitch_004_X,zed_pitch_004_Y,zed_pitch_004_Z
10,3572.915771,1497.678955,355.400208,3573.470459,1305.218384,341.005371,3566.320557,1077.568237,372.002625,3164.323975,1455.196655,124.164452,3115.955811,1460.84729,222.081955,3145.640381,1492.422485,192.427277,3141.195068,1486.664673,148.65567,3093.893311,1460.892334,179.316254,3117.544678,1497.740967,181.542892,3871.546387,1662.021606,21.476158,3789.285645,1644.68042,-66.395851,3817.901611,1561.011353,-68.73217,3834.511719,1329.218994,137.796265,3758.501465,1324.337158,182.858551,3765.78125,1331.583618,35.072247,3811.419922,1310.282959,-11.234293
11,3572.933838,1497.679565,355.406189,3573.472412,1305.223633,341.027039,3566.350342,1077.577393,371.997284,3164.331055,1455.203491,124.13517,3115.979248,1460.844727,222.048157,3145.653809,1492.442139,192.417572,3141.201416,1486.664917,148.661621,3093.902344,1460.883301,179.32283,3117.566895,1497.766235,181.515366,3871.550049,1662.042236,21.46718,3789.281982,1644.692749,-66.385094,3817.88623,1561.0354,-68.716843,3834.550293,1329.247192,137.768356,3758.516602,1324.336914,182.828445,3765.78125,1331.613892,35.060692,3811.405273,1310.288574,-11.193477
12,3572.971191,1497.655884,355.428101,3573.441406,1305.171021,341.123138,3566.362793,1077.587646,371.990601,3164.346924,1455.196899,124.137024,3115.968994,1460.844604,222.042221,3145.571045,1492.513306,192.624115,3141.192383,1486.65625,148.666,3093.909912,1460.90686,179.312683,3117.570068,1497.762573,181.508911,3871.557861,1662.062866,21.468369,3789.275391,1644.691406,-66.377632,3817.88623,1561.050537,-68.713684,3834.591797,1329.258911,137.740707,3758.535645,1324.357056,182.850174,3765.784424,1331.619019,35.043346,3811.429443,1310.298462,-11.223155
13,3572.951172,1497.665771,355.404358,3573.470459,1305.222534,341.063385,3566.392578,1077.598755,372.001007,3164.351074,1455.192871,124.131065,3115.968018,1460.856323,222.02121,3145.591309,1492.560791,192.632538,3141.194336,1486.6604,148.670547,3093.916016,1460.897461,179.299286,3117.589844,1497.760986,181.498474,3871.571289,1662.052124,21.463963,3789.269287,1644.689697,-66.377907,3817.898438,1561.050171,-68.704613,3834.624756,1329.273071,137.734406,3758.523926,1324.361694,182.848206,3765.802734,1331.620972,35.029732,3811.440186,1310.3125,-11.248801
14,3572.947754,1497.67041,355.396332,3573.486816,1305.240234,341.00293,3566.404785,1077.607788,372.013031,3164.37207,1455.204102,124.099052,3115.947021,1460.889404,222.031021,3145.614258,1492.538208,192.582687,3141.219238,1486.669312,148.664841,3093.927979,1460.909546,179.292206,3117.620605,1497.736084,181.469513,3871.588867,1662.040161,21.463346,3789.283447,1644.687378,-66.373688,3817.906738,1561.056519,-68.707794,3834.64502,1329.263184,137.735229,3758.529541,1324.354614,182.84549,3765.811768,1331.619385,35.037132,3811.460693,1310.300903,-11.274393
15,3572.962158,1497.672607,355.3992,3573.485596,1305.226929,340.93634,3566.411621,1077.623657,371.999908,3164.39502,1455.228882,124.033081,3115.940918,1460.899658,222.006714,3145.650879,1492.505371,192.539963,3141.249023,1486.647339,148.658081,3093.953125,1460.879517,179.247208,3117.642334,1497.705322,181.427628,3871.592773,1662.00293,21.464745,3789.282715,1644.674072,-66.369064,3817.931641,1561.041016,-68.723267,3834.654541,1329.263184,137.736984,3758.52832,1324.365723,182.82518,3765.822998,1331.606689,35.016251,3811.493652,1310.292725,-11.334275
16,3572.971436,1497.660889,355.402252,3573.492676,1305.218994,340.90567,3566.415771,1077.615479,372.015869,3164.391602,1455.194824,124.039024,3115.937256,1460.919922,222.010727,3145.781738,1492.376099,192.273041,3141.246094,1486.64624,148.667892,3093.97168,1460.86731,179.251389,3117.657227,1497.644409,181.364563,3871.600098,1661.99292,21.487444,3789.308105,1644.66272,-66.356949,3817.969727,1561.031128,-68.73893,3834.67749,1329.255127,137.741928,3758.521973,1324.37146,182.817322,3765.833496,1331.598389,35.014942,3811.508301,1310.291504,-11.365587
17,3573.058594,1497.591553,355.364716,3573.517578,1305.195801,340.860474,3566.442871,1077.60791,371.992828,3164.422119,1455.18042,124.032829,3115.93042,1460.908447,222.02121,3145.879639,1492.291382,192.15239,3141.27832,1486.62085,148.662292,3093.993408,1460.832031,179.237,3117.678467,1497.614136,181.310547,3871.60376,1661.974976,21.488754,3789.331787,1644.654175,-66.373581,3817.997314,1560.993408,-68.743057,3834.696045,1329.262085,137.740906,3758.522705,1324.368286,182.830841,3765.849121,1331.581909,35.010365,3811.540039,1310.280151,-11.448767
18,3573.123047,1497.655396,355.208435,3573.559082,1305.170044,340.830658,3566.429199,1077.622925,372.020142,3164.426758,1455.204712,123.983414,3115.919434,1460.903687,221.999512,3145.875488,1492.22876,192.154526,3141.320068,1486.652466,148.74527,3094.008057,1460.813599,179.20787,3117.705811,1497.57666,181.272736,3871.610352,1661.960938,21.477533,3789.320312,1644.627563,-66.366013,3818.021973,1560.967285,-68.746407,3834.743164,1329.255737,137.729248,3758.52832,1324.369141,182.827362,3765.878174,1331.548462,35.013897,3811.566406,1310.272095,-11.488976
19,3573.001709,1497.6604,355.349457,3573.573975,1305.139404,340.795349,3566.404785,1077.624756,372.014771,3164.421387,1455.163086,124.00985,3115.885498,1460.901123,221.992111,3145.858643,1492.213745,192.127396,3141.347412,1486.637817,148.743698,3094.013184,1460.797485,179.2005,3117.67041,1497.520142,181.312744,3871.627197,1661.925171,21.490669,3789.325684,1644.608276,-66.373215,3818.038818,1560.945312,-68.780708,3834.780029,1329.26709,137.727005,3758.532959,1324.349487,182.817856,3765.881348,1331.520874,35.023308,3811.575195,1310.265503,-11.52572
